,gpr,score
ALAGLYabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALAHIS1c,A0A809MY98,1.6590550866083467
ALAHISabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALALEU1c,A0A809MY98,1.6590550866083467
ALALEUabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALATHR1c,A0A809MY98,1.6590550866083467
ALATHRabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
ALCD19,,0
ALLTNt2r,A0A7S7FNV4,1.4366930004586151
AMPTASEGC,A0A809MY98,1.6590550866083467
ANPRT,A0A7S7FM04,1.4092266399619071
ARBTpts,A0A7S7FRC9,1.505149978319906
ASO3t,A0A7S7FSD1,1.178039034689379
ASO4t,A0A7S7FSD1,1.178039034689379
CELBpts,A0A7S7JG84 or A0A7S7FM93,1.4636092953880875
CGLYabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
CYSDS,,0
CYTBD,(A0A830Q8B2 and A0A830Q8Q8) or A0A249N8I5,0
CYTBD2,A0A830Q8B2 or A0A830Q8Q8,1.0236782653074563
CYTDK3,,0
CYTDK4,,0
DHORD2,,0
DHORD5,,0
DHORDi,,0
DHQS,A0A809N3G8,1.6284021949656142
DHQTi,,0
DKDID,A0A809N2B7,0
F6PE4PL,A0A809N245,1.8048699959462922
FCI,A0A7S7FS68,0.8754786285582027
FCLK,A0A809N4Q6,0
G3PD5,,0
G3PD6,,0
GALAM6PDA,A0A7S7JFT7,1.505149978319906
GALASE_OGLYCAN3e,A0A809MVM9 or A0A809N4G8,1.505149978319906
GALT,A0A7S7JGQ3,1.505149978319906
GCCb,A0A809N9E9,1.505149978319906
GLYASN1c,A0A809MY98,1.6590550866083467
GLYASP1c,A0A809MY98,1.6590550866083467
GLYC3Pabc,A0A809NI33 or A0A7S7JHK2 or A0A7S7FSA0,1.505149978319906
GLYCDx,A0A7S7FSJ2,1.0441537766170292
GLYCTO2,,0
GLYCTO3,,0
GLYCYSabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
GLYGLN1c,A0A809MY98,1.6590550866083467
GLYGLNabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
GLYGLU1c,A0A809MY98,1.6590550866083467
GLYGLUabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
GLYLEUHYDROc,A0A809MY98,1.6590550866083467
GLYLEUPEPT1tc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
GLYMET1c,A0A809MY98,1.6590550866083467
GLYMETabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
GLYPHEabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
GLYPHEHYc,A0A809MY98,1.6590550866083467
GLYPROabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
GLYPROPRO1c,A0A809MY98,1.6590550866083467
GLYTYR1c,A0A809MY98,1.6590550866083467
GLYTYRabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
GTPCI,,0
GTPDPK,,0
HISTD,A0A7S7FP20,1.0598045207093358
HISTLOX,A0A7S7FP20,1.0598045207093358
HSK,A0A7S7FQE8,1.505149978319906
HYD1,A0A830Q8B2,1.0236782653074563
IBCOATA,A0A809NFD8,1.7629680909379797
IHDCOATA,A0A809NFD8,1.7629680909379797
IHPDCOATA,A0A809NFD8,1.7629680909379797
IPDCOATA,A0A809NFD8,1.7629680909379797
ITDCOATA,A0A809NFD8,1.7629680909379797
IVCOATA,A0A809NFD8,1.7629680909379797
MALTabc,A0A809MWF3,0
MALTHXabc,A0A809MWF3,0
MALTpts,A0A7S7FR66,1.4116901011670464
MCOATA,A0A809NFD8,1.7629680909379797
MELIBt2r,A0A809N9W4,1.505149978319906
METALAabc,A0A7S7FQ30 or A0A7S7JHF6 or A0A809NF61 or A0A7S7JHK9 or A0A7S7JGR7 or A0A809N3K1 or A0A7S7FMA0 or A0A809MW03 or A0A7S7FR54 or A0A7S7FPK3 or A0A809NEN4 or A0A809N0G2 or C7TD59 or A0A345U3A4 or A0A7S7FQG2 or A0A7S7FPX9,1.8670086770129
MNNH,A0A7S7JF67,1.268124409047936
NADH10,,0
NADH5,,0
NADK2,,0
NNAM,,0
NO3abc,A0A7S7JI92,0
NTPTP1,A0A7S7JI36,1.4204703363448412
OROTPT,A0A7S7FP73,1.505149978319906
PAPPT2,A0A7S7FNR6,1.505149978319906
PAPPT3,A0A7S7FNR6,1.505149978319906
PIabc,A0A0J6ULP2 and A0A171JAI6 and (A0A809N6E7 or A0A7S7FRU7),1.505149978319906
PMTCOATA,A0A809NFD8,1.7629680909379797
POX,,0
PYNP1r,,0
R04198,A0A7S7JF80,1.505149978319906
r0570,A0A7S7FM74,1.505149978319906
RB5PE,A0A7S7FNA1,0
SALCpts,A0A7S7FQQ6,1.505149978319906
STCOATA,A0A809NFD8,1.7629680909379797
TAURabc,A0A809MSL7,0.878469399195881
TDCOATA,A0A809NFD8,1.7629680909379797
THIORDXi,,0
THZPSN,A0A809NBY2 and A0A809N1M5 and CAR87096.1,1.505149978319906
UAGPT2,A0A7S7FNV2,1.6206737056231844
UAGPT3,A0A7S7FNV2,1.6206737056231844
UDPGALM,C7TEA2,1.505149978319906
URIK4,,0
XPPT,,0
ACGK,,0
ACGS,A0A7S7FMA0,1.3674512607378704
ACOTA,,0
ADAPAT,A0A809N871,1.505149978319906
AGPR,,0
AHMMPS,,0
AOXSr2,,0
APATi,A0A830Q8X8,1.505149978319906
ARGSS,A0A7S7FS82,1.35565342620911
ATNS,,0
CTPS1,,0
CYTK2,A0A7S7FPU2,1.5187628231322137
DADK,A0A7S7JI47,1.7237888240033108
DCMPDA,A0A7S7FP93,1.505149978319906
DGK1,A0A7S7JGI5,1.505149978319906
DNADDP,A0A809MXI0,1.202316582521185
EGMEACPR,,0
EPMEACPR,,0
FCLPA,,0
GCALDt,,0
KPIMD,,0
LCGH,A0A7S7JGG2,1.0009623262117235
MALACPD,,0
MALCOAACP,,0
MCMAT2,,0
MCMAT4,,0
MCMAT7,,0
MLGH,A0A809MVM9,1.3234083225864772
NTPP4,A0A7S7JH34,1.505149978319906
NTPP7,A0A7S7JH34,1.505149978319906
PGL,A0A7S7FP12,1.505149978319906
PHLAC,A0A7S7FMM7,1.505149978319906
PMEACPE,,0
PPGPPDP,A0A7S7FN16,1.505149978319906
PUNP1,A0A7S7JH44 or C7TCL3,1.5233948183483088
R09543,,0
RNDR1,A0A7S7JH96,1.662484113636444
RNDR2,A0A7S7JH96,1.662484113636444
RNDR3,A0A7S7JH96,1.662484113636444
transC20251,,0
URIDK2r,A0A7S7FRZ9,1.505149978319906
2INSD,C7T970,0.879204256109372
6PGALSZ,A0A7S7JH44 or C7TCL3,1.5233948183483088
ACCOAC,A0A7S7FQE1,1.7473514275286415
ACLDC,C7TDV0,1.505149978319906
ACTNdiff,,0
ADA,A0A7S7FR89,1.505149978319906
ADK2,A0A7S7JI47,1.7237888240033108
ADSL1r,A0A7S7JGE4,1.6710067973107683
ADSL2r,A0A7S7JGE4,1.6710067973107683
ADSS,A0A7S7FM23,0
AGDC,A0A7S7JGC7,1.505149978319906
AHCYSNS,,0
AICART,A0A7S7JH44 or C7TCL3,1.5233948183483088
ALAALAr,A0A7S7FMP7,1.6207657492323126
ALAR,A0A7S7JHC7,1.505149978319906
ALCD2x,A0A7S7FNT5,1.8380696774218905
ASNS1,A0A7S7FQG1,1.6874305328191728
ASPCT,A0A7S7JGA5,1.505149978319906
ASPK_1,A0A7S7JH44 or C7TCL3,1.5233948183483088
ASPT,,0
ASPTA,A0A7S7JGB5,1.5108659098282429
CBLAT,A0A7S7FRE2,1.4205377277423707
CITL,A0A7S7JH44 or C7TCL3,1.5233948183483088
CYTD,A0A809MYN3,0
CYTDK2,A0A7S7FPJ0,1.505149978319906
CYTK1,A0A7S7FPU2,1.5187628231322137
D5KGK,A0A7S7FM71,0
D5KGPA,A0A809MSZ5,1.0145906292516529
DADA,A0A7S7FR89,1.505149978319906
DAPDA,A0A7S7FLW6,1.505149978319906
DAPDC,A0A809NFL7,0
DAPE,A0A7S7FM11,1.505149978319906
DCYTD,A0A809MYN3,0
DDGLK,A0A7S7JFK1 or A0A830Q9V9,1.4771831197511889
DHAPT,C7T963 or A0A809NE61,1.0524160520312253
DHFR,A0A809MX68,1.505149978319906
DHFS,A0A809MZN0,1.505149978319906
DHORDfum,A0A7S7JGL9,1.505149978319906
DHORTS,A0A7S7JH91,1.505149978319906
DMATT,A0A7S7JHE4,1.505149978319906
DPCOAK,A0A7S7FQG6,1.505149978319906
DPMVDx,A0A7S7FP49,1.505149978319906
DRBK,A0A7S7FN46,1.505149978319906
DTMPK,A0A7S7FRZ9,1.505149978319906
DURIK1,A0A7S7FNM9,1.505149978319906
DURIPP,A0A7S7JH44 or C7TCL3,1.5233948183483088
DUTPDP,A0A7S7FQI9,1.505149978319906
ENO,A0A7S7FP71 or A0A7S7FP71,1.8372505222340865
FBA,,0
FBA4,A0A7S7JH44 or C7TCL3,1.5233948183483088
FCLT,A0A7S7FPZ6,1.372515703448792
FFSD,A0A7S7FR47,1.505149978319906
FMNAT,A0A809MZ50,1.4030167305985546
FORt2,,0
FRUK,A0A7S7FLX1 or A0A7S7FLT8,1.4791523329216205
FTHFCL_1,A0A7S7JG41,1.505149978319906
FTHFLi,A0A7S7FP82,1.6528684996947467
FUM,A0A7S7FSA9,1.505149978319906
G1PACT,A0A809NCK5,1.1453379600064375
G1PTT,C7TE97 or A0A7S7FQX7 or A0A809NCL8,1.591488854370723
G6PI,A0A7S7FNF3,1.7436215533799595
GALKr,A0A7S7FNQ5,1.505149978319906
GALM,A0A809N3N5,1.505149978319906
GALUi,A0A809N8Y9,1.5376363764629826
GAPDHh,A0A7S7FNB0,1.6534584290074605
GARFT,A0A7S7FPN4,1.505149978319906
GF6PTA,A0A7S7FP55,1.7505868426327615
GHMT2r,A0A7S7FNK1,1.6163828871151962
GK1,A0A7S7JGI5,1.505149978319906
GLNS,A0A7S7FNE3,1.505149978319906
GLUCYS,A0A7S7FNR0,1.319345476726825
GLUPRT,A0A7S7FPN4,1.505149978319906
GLUR,A0A7S7JIF6,1.505149978319906
GLUSy,,0
GLUTRS_1,A0A7S7JH44 or C7TCL3,1.5233948183483088
GLYK,A0A7S7FNJ5 or A0A809MYY2 or C7T9S4 or A0A7S7FQP3,1.505149978319906
GND,A0A7S7FPJ3,1.702905976169717
GNKr,A0A7S7FSK8,1.505149978319906
GRTTx,A0A7S7JHE4,1.505149978319906
GUAPRT,A0A809N446,1.6110465707165593
GUI1,A0A830TZ69 or A0A830TYV0,0
GUI2,A0A830TZ69 or A0A830TYV0,0
HCGAL,A0A7S7JGA5 or A0A7S7JH91,1.505149978319906
HCO3E,A0A7S7FSI3,1.2382805342519114
HETZK,A0A809MWK6,0
HMGCOAS,A0A7S7FPX0,1.6345106954267983
HSTPTr,A0A7S7FPX1 or A0A7S7JH71,1.5277791780735446
IG3PS_1,A0A7S7FLX1 or A0A7S7FLT8,1.4791523329216205
IGPDH_1,A0A7S7FP09,1.1316667697021177
IGPS_1,A0A7S7FLU5,1.296633402955277
ILETA,A0A7S7FQY2,1.6042188513184428
IMPC,,0
INS2D,A0A809N2B7,0
IPDDIx,A0A7S7FP80,1.505149978319906
KAS14,,0
LDH_L,A0A7S7FMM7 or A0A7S7FMM7,1.505149978319906
M1PD,A0A7S7FSI8,1.505149978319906
MALT,A0A7S7FR98,1.505149978319906
MANAO,A0A7S7FMM8,1.3046708676517809
MCMAT5,,0
MCMAT6,,0
ME1,A0A7S7FNR2,1.505149978319906
METAT,A0A7S7FN52,1.505149978319906
METS,A0A7S7FMP5,1.505149978319906
MEVK1,A0A7S7FP80,1.505149978319906
MMSAD3,A0A7S7FM91,1.1007452130916904
NADK,A0A7S7FN63,1.505149978319906
NADS1,A0A7S7FQS8,1.5056624186031742
NDPK2n,A0A7S7JFQ7,1.505149978319906
NDPK4n,A0A7S7JFQ7,1.505149978319906
NDPK9n,A0A7S7JFQ7,1.505149978319906
OAADC,A0A7S7FNJ5 or A0A809MYY2 or C7T9S4 or A0A7S7FQP3,1.505149978319906
OMPDC,A0A7S7FP28,1.505149978319906
ORNDC,A0A7S7FPI4,1.505149978319906
PC,A0A7S7JH86,1.505149978319906
PFL,A0A7S7FPW2,1.81103306907483
PGAMT,A0A7S7FNC1,1.7113634001682954
PGI,A0A7S7FNF3,1.7436215533799595
PGK,,0
PGM,A0A7S7JH44 or C7TCL3,1.5233948183483088
PGMT,A0A7S7FN75,1.6088036972164867
PHETA1,A0A7S7JH44 or C7TCL3,1.5233948183483088
PMEVKx,A0A7S7JGE1,1.505149978319906
PMPK,A0A7S7FMF6 and A0A7S7FMF6,1.0104387436453346
PNP,A0A7S7FM74,1.505149978319906
PNTK,A0A809NET0,1.505149978319906
PPA,A0A7S7FQ05,1.7316128035650942
PPCDC,A0A7S7FPG2,1.505149978319906
PPCK,A0A809N810,1.505149978319906
PPNCL2,A0A7S7FPG2,1.505149978319906
PRAIi,A0A7S7FMM3,1.1790938319498148
PRAIS_1,A0A7S7JHQ3,1.5410415075207304
PRAMPC_1,A0A7S7FP62 or A0A7S7FP18,1.2163740518176605
PRASCSi,C7TDL4,1.505149978319906
PRATPP,A0A7S7FLX1 or A0A7S7FLT8,1.4791523329216205
PRFGS_1,A0A7S7JHH4 or A0A809MYR1 or A0A7S7FPW1,1.505149978319906
PRMICI,A0A7S7FP62,1.1502828294109286
PRPPS,A0A7S7FSI8 or A0A7S7FR25,1.505149978319906
PTAr,A0A7S7FN73,1.539370589011777
PUNP2,A0A7S7FM74,1.505149978319906
PUNP4,,0
PUNP6,A0A7S7JH44 or C7TCL3,1.5233948183483088
PUNP7,A0A7S7FM74,1.505149978319906
PYDAMK,A0A7S7JFL9,1.505149978319906
PYDXK,A0A7S7JFL9,1.505149978319906
PYDXNK,A0A7S7JFL9,1.505149978319906
PYK,A0A7S7FP24 or A0A7S7FP24,1.9425842400997952
PYROX_1,A0A7S7FPX0 or A0A809MZW5,1.6345106954267983
RBFK,A0A7S7FQC6,1.505149978319906
RBK,A0A7S7FN46,1.505149978319906
RBP4E,A0A809ND60,0
RHCCE,,0
RMI,A0A7S7JIB2,0
RMK,A0A809N4Q6,0
